Numbers at Age:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge20	UndeterminedAge21	
sol.27.8ab	2024	3	27.8.b	France	375933.00	L	R-Reported	GTR_DEF_100-119_0_0_all	85884.28	-9	-9	620	-9	11	0.00	6213.13	92721.15	113637.55	30045.65	7389.09	4760.60	3497.64	704.50	271.25	51.10	225.31	0.00	0.00	0.00	0.00	51.10	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	767688.00	L	R-Reported	OTB_DEF_>=70_0_0	59850.13	-9	-9	717	-9	24	0.00	0.00	8851.07	54168.01	39176.09	26501.02	20366.28	9839.73	7056.46	3559.26	1674.20	1369.92	0.00	0.00	0.00	191.72	1151.21	549.35	0.00	0.00	700.58	
sol.27.8ab	2024	1	27.8.a	France	518940.00	L	R-Reported	GTR_DEF_100-119_0_0_all	610281.53	-9	-9	3422	-9	87	0.00	0.00	36771.93	426170.70	395876.19	271221.21	237698.19	112165.45	73575.48	36343.37	16072.60	11833.87	0.00	0.00	0.00	2392.26	12551.77	5755.16	0.00	0.00	3902.26	
sol.27.8ab	2024	2	27.8.b	France	170088.00	L	R-Reported	OTB_DEF_>=70_0_0	19054.04	-9	-9	543	-9	7	0.00	0.00	4050.38	25619.84	15027.03	17138.43	4911.73	9101.61	3134.15	2512.55	421.28	1583.87	670.08	14.44	11.73	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	France	507928.00	L	R-Reported	GTR_DEF_100-119_0_0_all	97526.79	-9	-9	730	-9	30	0.00	0.00	22196.40	65693.72	48703.95	56425.49	28974.25	35607.97	14356.83	12032.62	2303.80	929.27	4530.62	1296.64	1425.80	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	63587.00	L	R-Reported	GTR_DEF_40-59_0_0	8866.62	-9	-9	195	-9	4	0.00	422.84	6698.08	8942.46	2942.65	791.38	886.93	658.80	156.28	56.15	227.70	71.04	0.00	0.00	0.00	0.00	227.70	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	Belgium	374400.00	L	R-Reported	TBB_DEF_70-99_0_0_all	194565.00	-9	108	4627	2	2	0.00	28904.00	292067.00	221848.00	126594.00	71275.00	78760.00	15496.00	10668.00	25980.00	6033.00	597.00	22446.00	2858.00	5190.00	959.00	2534.00	2506.00	1432.00	3717.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	50652.00	L	R-Reported	OTB_DEF_32-69_0_0	2582.66	-9	-9	55	-9	5	0.00	451.00	2789.93	2050.68	1542.29	878.98	589.84	513.86	230.33	248.20	74.14	87.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	282024.00	L	R-Reported	OTT_DEF_>=70_0_0	14391.56	-9	-9	344	-9	5	0.00	1852.72	7300.67	9246.33	3792.17	1310.20	2011.65	2800.06	768.27	170.94	723.04	585.13	0.00	0.00	0.00	0.00	752.91	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	32784.00	L	R-Reported	GTR_DEF_40-59_0_0	2902.66	-9	-9	85	-9	4	0.00	259.56	1865.10	2158.83	1173.67	1318.23	833.48	504.87	369.68	335.11	239.33	215.90	0.00	60.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	560214.00	L	R-Reported	OTB_DEF_>=70_0_0	51834.76	-9	-9	740	-9	12	0.00	0.00	10927.86	39824.02	29448.73	32931.21	15404.18	20892.75	9933.42	7928.09	1508.52	1023.08	2148.65	461.12	991.50	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	479868.00	L	R-Reported	OTT_CRU_>=70_0_0	13614.71	-9	-9	140	-9	8	0.00	0.00	3335.19	10458.73	8687.99	5568.37	5244.92	2563.13	1954.00	846.30	360.07	227.08	0.00	0.00	0.00	37.77	46.16	341.61	0.00	0.00	75.01	
sol.27.8ab	2024	2	27.8.b	France	83603.00	L	R-Reported	OTB_DEF_32-69_0_0	3853.63	-9	-9	62	-9	3	0.00	0.00	272.80	4057.66	2348.83	2375.56	1022.44	1230.63	730.55	1060.98	145.94	676.75	66.95	34.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.b	France	336181.00	D	R-Reported	GTR_DEF_100-119_0_0_all	3458.26	-9	-9	23	-9	21	0.00	3214.50	2822.79	4741.16	1906.89	1124.81	713.29	300.07	415.88	0.00	46.94	27.24	0.00	0.00	0.00	0.00	81.72	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	550980.00	L	R-Reported	GTR_DEF_100-119_0_0_all	244921.76	-9	-9	736	-9	24	0.00	6761.21	116549.59	117294.72	91884.05	65714.02	46021.40	34547.34	27545.92	18402.36	28466.87	22844.83	7320.79	23845.65	8239.04	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.b	France	259914.00	L	R-Reported	OTB_DEF_>=70_0_0	37933.18	-9	-9	333	-9	6	0.00	3928.45	35041.91	23579.78	17882.84	14008.15	7590.85	6930.59	4003.75	3324.77	3319.66	1780.64	430.09	1101.64	913.51	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	561847.00	L	R-Reported	OTB_DEF_>=70_0_0	40879.27	-9	-9	484	-9	17	0.00	22452.72	76442.13	39507.44	11206.19	2643.37	2807.10	2380.00	442.54	161.97	357.98	118.59	0.00	0.00	0.00	0.00	357.98	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	6667.00	L	R-Reported	OTB_DEF_<16_0_0_all	408.80	-9	-9	65	-9	2	0.00	240.22	921.88	386.03	101.35	19.58	26.06	14.58	14.21	0.00	0.00	14.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	France	25228.00	L	R-Reported	GTR_DEF_all_0_0_all	401.85	-9	-9	58	-9	7	0.00	0.00	71.39	225.60	175.80	181.71	121.94	144.58	76.85	55.81	10.78	3.28	20.90	6.99	2.55	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	804943.00	L	R-Reported	OTT_DEF_>=70_0_0	43781.82	-9	-9	136	-9	5	0.00	1063.57	12437.90	10332.29	10317.88	5316.68	4440.49	3188.68	6177.56	1604.27	6831.44	8309.80	3506.28	11805.31	2546.82	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	128270.00	L	R-Reported	OTB_DEF_32-69_0_0	3849.35	-9	-9	57	-9	6	0.00	2407.21	10501.11	4350.64	1028.12	105.90	236.53	103.13	30.84	15.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.b	France	480525.00	D	R-Reported	GTR_DEF_100-119_0_0_all	3563.19	-9	-9	28	-9	8	0.00	12038.15	6731.57	2861.64	1182.35	466.12	252.16	188.22	0.00	252.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	1108017.00	L	R-Reported	OTB_DEF_>=70_0_0	51921.36	-9	-9	935	-9	47	0.00	7913.26	50122.55	30447.50	21235.88	15074.91	9405.29	7791.38	5626.57	3835.10	5599.50	3387.00	1159.89	3107.54	1491.52	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.b	France	21906.00	L	R-Reported	GTR_DEF_all_0_0_all	315.56	-9	-9	26	-9	3	0.00	17.28	318.40	392.75	126.93	39.12	13.05	13.53	2.41	0.00	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	228761.00	L	R-Reported	OTT_DEF_>=70_0_0	7273.26	-9	-9	128	-9	2	0.00	0.00	432.27	1232.20	1111.32	1336.05	1919.29	2085.80	1601.95	1762.86	278.76	0.00	170.87	104.30	451.06	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	France	281701.00	L	R-Reported	GNS_DEF_100-119_0_0_all	1777.58	-9	-9	74	-9	2	0.00	0.00	216.21	728.69	596.04	612.36	510.80	670.06	405.84	403.02	66.06	2.67	51.71	22.61	63.68	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	589502.00	L	R-Reported	OTT_DEF_>=70_0_0	35280.46	-9	-9	400	-9	4	0.00	0.00	2208.08	11301.84	15548.26	9201.83	6926.61	5794.16	4695.40	3431.37	2411.48	1481.94	0.00	0.00	0.00	450.86	2277.39	217.46	0.00	0.00	854.90	
sol.27.8ab	2024	4	27.8.a	France	631615.00	L	R-Reported	GNS_DEF_100-119_0_0_all	2500.94	-9	-9	35	-9	7	0.00	12.29	247.54	412.48	621.03	187.32	142.40	124.57	257.44	114.19	605.01	392.91	179.36	443.62	275.85	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	560117.00	L	R-Reported	GTR_DEF_100-119_0_0_all	124255.80	-9	-9	1177	-9	54	0.00	0.00	24377.27	79497.68	60003.55	66928.39	34314.56	44167.33	21885.61	21089.57	3734.03	1832.34	5230.36	978.16	3434.67	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	66676.00	L	R-Reported	GTR_DEF_40-59_0_0	11180.68	-9	-9	24	-9	6	0.00	0.00	2563.99	4653.26	4424.63	4615.67	3047.36	2538.25	1709.11	1013.25	347.36	166.05	711.12	263.44	1344.53	0.00	0.00	0.00	0.00	0.00	0.00	
