RecordType,Country,Year,SeasonType,Season,Fleet,AreaType,FishingArea,DepthRange,UnitEffort,Effort,AreaQualifier
HI,Malawi,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,153536,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,101551,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,25602,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,80544,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,125212,NA
HI,Malawi,2022,Quarter,1,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2182,NA
HI,Malawi,2022,Quarter,1,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,150032,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,145262,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,222505,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,53586,NA
HI,Malawi,2022,Quarter,4,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,366,NA
HI,Malawi,2022,Quarter,4,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,3252,NA
HI,Malawi,2022,Quarter,3,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,240005,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,141320,NA
HI,Zimbabwe,2022,Quarter,2,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,266,NA
HI,Zimbabwe,2022,Quarter,2,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,2650,NA
HI,Zimbabwe,2022,Quarter,2,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,52562,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,308868,NA
HI,Malawi,2022,Quarter,2,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,130346,NA
HI,Malawi,2022,Quarter,2,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,6002,NA
HI,Malawi,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,4464,NA
HI,Malawi,2022,Quarter,1,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,26144,NA
HI,Malawi,2022,Quarter,1,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,55,NA
HI,Malawi,2022,Quarter,4,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,3356,NA
HI,Malawi,2022,Quarter,1,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,12886,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,8880,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,66,NA
HI,Malawi,2022,Quarter,4,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,146,NA
HI,Malawi,2022,Quarter,2,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,266562,NA
HI,Botswana,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,0,NA
HI,Zambia,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Botswana,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,5262,NA
HI,Zambia,2022,Quarter,3,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zimbabwe,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,864244,NA
HI,Zimbabwe,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,145253,NA
HI,Zimbabwe,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,801360,NA
HI,Zimbabwe,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,140668,NA
HI,Zimbabwe,2022,Quarter,3,SDN_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,132062,NA
HI,Zimbabwe,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,451615,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,68255,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,108665,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,106350,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,262848,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,60468,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,153130,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,441,NA
HI,Malawi,2022,Quarter,3,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,1504,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,213052,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,66236,NA
HI,Malawi,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2804,NA
HI,Malawi,2022,Quarter,1,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,11382,NA
HI,Malawi,2022,Quarter,1,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,560,NA
HI,Malawi,2022,Quarter,4,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,136518,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,60483,NA
HI,Malawi,2022,Quarter,3,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,4815,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,28636,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,104663,NA
HI,Malawi,2022,Quarter,2,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,12565,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,2413,NA
HI,Malawi,2022,Quarter,2,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2556,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,124315,NA
HI,Zimbabwe,2022,Quarter,1,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,15135,NA
HI,Zimbabwe,2022,Quarter,2,TBB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,5858,NA
HI,Zimbabwe,2022,Quarter,3,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,1,NA
HI,Zimbabwe,2022,Quarter,4,GNS_DEF_120-215_0_0_all,NA,27.3.a.21,NA,kWd,1,NA
HI,Zimbabwe,2022,Quarter,1,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,11433,NA
HI,Uganda,2022,Quarter,1,TBB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,25565,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,344345,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,4513,NA
HI,Malawi,2022,Quarter,1,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,1066,NA
HI,Malawi,2022,Quarter,2,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,3465,NA
HI,Malawi,2022,Quarter,2,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,24658,NA
HI,Malawi,2022,Quarter,3,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,416,NA
HI,Malawi,2022,Quarter,1,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,156,NA
HI,Malawi,2022,Quarter,1,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,213,NA
HI,Malawi,2022,Quarter,3,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,15113,NA
HI,Malawi,2022,Quarter,4,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,616,NA
HI,Zambia,2022,Quarter,2,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zambia,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,NA,-5,NA
HI,Zambia,2022,Quarter,2,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zimbabwe,2022,Quarter,2,OTB_CRU_50-115_0_0_all_FDF,NA,27.3.a.21,NA,kWd,430115,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_50-115_0_0_all_FDF,NA,27.3.a.21,NA,kWd,265426,NA
HI,Zimbabwe,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,43453,NA
HI,Botswana,2022,Quarter,1,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,16636,NA
HI,Zimbabwe,2022,Quarter,2,SDN_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,112245,NA
HI,Zimbabwe,2022,Quarter,3,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,58468,NA
HI,Uganda,2022,Quarter,2,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,550,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,55138,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,156585,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,106250,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,236540,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,243062,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,64814,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,10188,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,8664,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,101551,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,153536,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,25602,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,201356,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,80544,NA
HI,Malawi,2022,Quarter,4,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,366,NA
HI,Malawi,2022,Quarter,1,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2182,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,145262,NA
HI,Malawi,2022,Quarter,3,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,240005,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,125212,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,222505,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,53586,NA
HI,Malawi,2022,Quarter,1,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,150032,NA
HI,Zimbabwe,2022,Quarter,2,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,266,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,308868,NA
HI,Zimbabwe,2022,Quarter,4,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,1685,NA
HI,Zimbabwe,2022,Quarter,2,GNS_DEF_100-115_0_0_all,NA,27.3.a.21,NA,kWd,1121,NA
HI,Malawi,2022,Quarter,4,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,458,NA
HI,Malawi,2022,Quarter,2,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,1465,NA
HI,Malawi,2022,Quarter,1,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,8241,NA
HI,Malawi,2022,Quarter,3,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,32820,NA
HI,Malawi,2022,Quarter,2,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,130346,NA
HI,Malawi,2022,Quarter,2,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,6002,NA
HI,Malawi,2022,Quarter,1,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,26144,NA
HI,Malawi,2022,Quarter,1,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,12886,NA
HI,Malawi,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,4464,NA
HI,Malawi,2022,Quarter,1,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,55,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,8880,NA
HI,Botswana,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2553,NA
HI,Zambia,2022,Quarter,4,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Botswana,2022,Quarter,2,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,21155,NA
HI,Zambia,2022,Quarter,4,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zimbabwe,2022,Quarter,1,SDN_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,36536,NA
HI,Zimbabwe,2022,Quarter,4,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,6464,NA
HI,Zimbabwe,2022,Quarter,4,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,56036,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,550561,NA
HI,Zimbabwe,2022,Quarter,3,OTB_CRU_50-115_0_0_all_FDF,NA,27.3.a.21,NA,kWd,602563,NA
HI,Uganda,2022,Quarter,3,TBB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,15866,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,156585,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,55138,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,106250,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,243062,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,153536,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,236540,NA
HI,Malawi,2022,Quarter,1,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2182,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,25602,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,80544,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,145262,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,53586,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,125212,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,222505,NA
HI,Malawi,2022,Quarter,4,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,3252,NA
HI,Malawi,2022,Quarter,1,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,150032,NA
HI,Malawi,2022,Quarter,4,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,366,NA
HI,Malawi,2022,Quarter,3,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,240005,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,66236,NA
HI,Malawi,2022,Quarter,3,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,1504,NA
HI,Malawi,2022,Quarter,3,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,23451,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,141320,NA
HI,Malawi,2022,Quarter,4,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,136518,NA
HI,Zimbabwe,2022,Quarter,2,SSC_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,32231,NA
HI,Zimbabwe,2022,Quarter,3,GNS_DEF_120-215_0_0_all,NA,27.3.a.21,NA,kWd,1,NA
HI,Zimbabwe,2022,Quarter,4,TBB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,2540,NA
HI,Zimbabwe,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,44258,NA
HI,Malawi,2022,Quarter,1,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,55,NA
HI,Malawi,2022,Quarter,1,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,26144,NA
HI,Malawi,2022,Quarter,1,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,12886,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,8880,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,66,NA
HI,Malawi,2022,Quarter,4,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,4501,NA
HI,Malawi,2022,Quarter,4,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,146,NA
HI,Malawi,2022,Quarter,4,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,3356,NA
HI,Malawi,2022,Quarter,2,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,266562,NA
HI,Malawi,2022,Quarter,3,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,3355,NA
HI,Botswana,2022,Quarter,3,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,6286,NA
HI,Zambia,2022,Quarter,4,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,NA,-5,NA
HI,Botswana,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,16588,NA
HI,Zambia,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,106244,NA
HI,Zimbabwe,2022,Quarter,1,OTB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,125046,NA
HI,Zimbabwe,2022,Quarter,2,GNS_DEF_120-215_0_0_all,NA,27.3.a.21,NA,kWd,68351,NA
HI,Botswana,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,3586,NA
HI,Zimbabwe,2022,Quarter,3,SDN_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,132062,NA
HI,Zimbabwe,2022,Quarter,4,GNS_DEF_120-215_0_0_all,NA,27.3.a.21,NA,kWd,52554,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,108665,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,68255,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,60468,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,106350,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,262848,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,153130,NA
HI,Malawi,2022,Quarter,1,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,11382,NA
HI,Malawi,2022,Quarter,3,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,4815,NA
HI,Malawi,2022,Quarter,2,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2804,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,213052,NA
HI,Malawi,2022,Quarter,2,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,12565,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,104663,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,2413,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,60483,NA
HI,Malawi,2022,Quarter,1,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,560,NA
HI,Malawi,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,124315,NA
HI,Malawi,2022,Quarter,2,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,2556,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,28636,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,10188,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,201356,NA
HI,Malawi,2022,Quarter,4,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,64814,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,101551,NA
HI,Zimbabwe,2022,Quarter,3,OTB_CRU_32-65_0_0_all,NA,27.3.a.21,NA,kWd,-5,NA
HI,Zimbabwe,2022,Quarter,2,MIS_MIS_0_0_0_IBC,NA,27.3.a.21,NA,kWd,1,NA
HI,Zimbabwe,2022,Quarter,3,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,5634,NA
HI,Zimbabwe,2022,Quarter,3,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,kWd,13404,NA
HI,Zimbabwe,2022,Quarter,1,GNS_DEF_120-215_0_0_all,NA,27.3.a.21,NA,kWd,354,NA
HI,Zimbabwe,2022,Quarter,1,GNS_DEF_>=220_0_0_all,NA,27.3.a.21,NA,kWd,1543,NA
HI,Malawi,2022,Quarter,2,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,24658,NA
HI,Malawi,2022,Quarter,1,GTR_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,156,NA
HI,Malawi,2022,Quarter,3,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,416,NA
HI,Malawi,2022,Quarter,4,GNS_DEF_all_0_0_all,NA,27.3.a.21,NA,kWd,616,NA
HI,Malawi,2022,Quarter,3,FPO_CRU_0_0_0_all,NA,27.3.a.21,NA,kWd,15113,NA
HI,Malawi,2022,Quarter,2,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,1465,NA
HI,Malawi,2022,Quarter,1,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,213,NA
HI,Malawi,2022,Quarter,4,LLS_FIF_0_0_0_all,NA,27.3.a.21,NA,kWd,458,NA
